Column Name,Description,Data Type
satisfaction_level,Level of satisfaction (0-1),Numeric
last_evaluation,Time since last performance evaluation (in Years),Numeric
number_project,Number of projects completed while at work,Numeric
average_montly_hours,Average monthly hours at workplace,Numeric
time_spend_company,Number of years spent in the company,Numeric
Work_accident,Whether the employee had a workplace accident,Numeric
left,Whether the employee left the workplace or not (1 or 0) Factor,Numeric
promotion_last_5years,Whether the employee was promoted in the last five years,Numeric
sales,Department in which they work for,String
salary,Relative level of salary (high),String
